Site;Date;Hive;ID;BeeType;Brain;Side;MB;AL;ME;LO;OL;MBr;ALr;MEr;LOr;Olr
A;02/09/2020;H1;1;Forager;0.516718099457239;Right;0.060796407020157;0.0157051462681854;0.0652141768069851;0.0226458184053302;0.0878599952123153;0.117658752584857;0.0303940316483632;0.126208423655928;0.0438262534815742;0.170034677137502
A;02/09/2020;H1;2;Forager;0.516737477589402;Right;0.0620265296498784;0.0162181832601266;0.0670199300258723;0.0197527876599219;0.0867727176857941;0.120034896518894;0.0313857305953208;0.129698218016859;0.0382259629242867;0.167924180941146
A;02/09/2020;H1;3;Forager;0.549993925793207;Right;NA;0.0145064155555649;0.0733157762568916;0.0224379000416491;0.0957536762985407;NA;0.0263755923024851;0.133302883574859;0.0407966324524201;0.174099516027279
A;02/09/2020;H1;4;Forager;0.54002586266901;Right;0.0624988513415876;0.0155860891315883;0.0765479070142347;0.0232530526314662;0.0998009596457009;0.115733070695346;0.0288617457218734;0.141748594476395;0.0430591463092914;0.184807740785686
A;02/09/2020;H1;5;Forager;0.524899769378788;Right;0.0661664580106829;0.0141041594659652;0.0732213075789344;0.0222992315072315;0.095520539086166;0.126055414520357;0.0268701955854492;0.139495789197223;0.0424828373112496;0.181978626508473
A;02/09/2020;H1;6;Forager;0.538398611351081;Right;0.0605595281446543;0.0162701302994038;0.0787240627939702;0.0246570124196722;0.103381075213642;0.112480840157971;0.0302194878597009;0.146218918723465;0.0457969465370589;0.192015865260523
A;02/09/2020;H1;7;Forager;0.53526088346595;Right;NA;0.0143074465613743;0.0742181674401923;0.0228927376477084;0.0971109050879007;NA;0.0267298564182945;0.138657932482588;0.0427693081165807;0.181427240599169
A;02/09/2020;H1;8;Forager;0.487942345781408;Right;0.0682990654477584;0.0099897692107043;0.0679767790842763;0.0210401074957359;0.0890168865800121;0.139973638357585;0.0204732573367994;0.13931313744745;0.0431200687491911;0.182433206196641
A;02/09/2020;H1;9;Forager;0.551484592369419;Right;0.0705002598099863;0.0141274063591428;0.0740607638643747;0.0239729314197283;0.098033695284103;0.127837224802757;0.0256170463411231;0.134293441537827;0.0434698117616126;0.177763253299439
A;02/09/2020;H6;10;Forager;0.505555544249404;Right;NA;0.0113268434463155;0.0674508738785434;0.0193269460377954;0.0867778199163388;NA;0.0224047457794819;0.133419313952312;0.0382291248857532;0.171648438838066
A;02/09/2020;H6;11;Forager;0.536524643097967;Right;NA;0.0124986273463133;0.0734460757502653;0.0234572647551601;0.0969033405054254;NA;0.0232955326602419;0.136892268966766;0.0437207592548119;0.180613028221578
A;02/09/2020;H6;12;Forager;0.49724193922817;Right;NA;0.00972462666057466;0.068167046368513;0.0206464299893449;0.0888134763578579;NA;0.0195571328429566;0.137090299491478;0.0415218998248473;0.178612199316325
A;02/09/2020;H6;13;Forager;0.506124565896001;Right;0.0615183822914706;0.0126984930443658;0.0700293691342726;0.0216416221692525;0.0916709913035251;0.121547908235917;0.0250896595423805;0.138363900614661;0.0427594778588547;0.181123378473515
A;02/09/2020;H6;14;Forager;0.551951378942436;Right;0.070692123682209;0.0136444946322585;0.0681721367386766;0.0216199683853918;0.0897921051240684;0.128076722659265;0.0247204647960151;0.123511126775872;0.0391700595563628;0.162681186332235
A;02/09/2020;H2;15;Forager;0.53589497839432;Right;0.0632347776925291;0.0154396404783379;0.0745169221983065;0.0242027523967433;0.0987196745950498;0.11799845164065;0.0288109444962501;0.139051353721542;0.0451632378964644;0.184214591618006
A;02/09/2020;H2;16;Forager;0.525384519839333;Right;NA;0.0147049023246722;0.0746524309802703;0.0244510753951941;0.0991035063754644;NA;0.027988838211619;0.142091036490949;0.0465393906213138;0.188630427112263
A;02/09/2020;H2;17;Forager;0.580375387769635;Right;NA;0.0144845388138191;0.0804196006978623;0.0236994397335377;0.1041190404314;NA;0.0249571899826468;0.138564802010148;0.0408346739592351;0.179399475969383
A;02/09/2020;H2;18;Forager;0.616982521768584;Right;NA;0.0156852693141521;0.0818896097177126;0.0258876585646155;0.107777268282328;NA;0.0254225504949317;0.132725979794331;0.0419584958264431;0.174684475620774
A;02/09/2020;H2;19;Forager;0.470635773700362;Right;NA;0.0100711804245362;0.0742727001803641;0.0230801445966728;0.0973528447770369;NA;0.0213990966843676;0.157813545698825;0.0490403532549295;0.206853898953755
A;02/09/2020;H2;20;Forager;0.536165525746725;Right;NA;0.015532333418566;0.0735757854156144;0.0230602071525237;0.0966359925681381;NA;0.0289692877902471;0.137225878730536;0.0430094924891104;0.180235371219647
A;02/09/2020;H3;21;Forager;0.541344735194488;Right;0.0698004417450769;0.0144538002962323;0.0719696909873852;0.0224715544275074;0.0944412454148926;0.128938986947014;0.0266998076392846;0.132946136368222;0.0415106178495189;0.17445675421774
