Site;Tech;Date;Hive2;Hive;ID;BeeType;MB;CX;AL;ME;OTH;LO;OL;Brain;MBr;CXr;ALr;MEr;OTHr;LOr;OLr;MBRi;MBL;ALRi;ALL;MERi;MEL;LORi;LOL;OLRi;OLL;ALSD;MBSD;LOSD;MESD;CXSD;OLSD;MBRL;ALRL;OLRL;>RAL. >ROL. >RMB;>RAL. >ROL. <RMB;>RAL. <ROL. <RMB;<RAL. <ROL. <RMB;>RAL. <ROL. >RMB;<RAL. >ROL. >RMB;<RAL. >ROL. <RMB;<RAL. <ROL. >RMB;>RAL. >ROL;>RAL. <ROL;<RAL. >ROL;<RAL. <ROL;;
A;CTScanUS;02/09/2020;H18;H1;1;Forager;0.125889820057174;0.00335257952223391;0.0315370707535982;0.134127396953321;0.178213770188218;0.0435974619826937;0.177724858936015;0.516718099457239;0.243633463177328;0.00648821770662854;0.0610334160671452;0.259575573401064;0.344895544350806;0.0843737852970285;0.343949358698093;0.060796407020157;0.065093413037017;0.0157051462681854;0.0158319244854128;0.0652141768069851;0.0689132201463359;0.0226458184053302;0.0209516435773635;0.0878599952123153;0.0898648637236994;NA;NA;NA;NA;NA;NA;-0.00429700601686;-0.000126778217227338;-0.00200486851138405;NA;NA;NA;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H18;H1;2;Forager;0.129265690624865;0.00292455669013067;0.0300487277935844;0.13190595938387;0.183570542181111;0.0390220009158413;0.170927960299711;0.516737477589402;0.250157374355531;0.00565965662830153;0.0581508582148188;0.255266871679631;0.355249135474891;0.0755161036468271;0.330782975326458;0.0620265296498784;0.0672391609749863;0.0162181832601266;0.0138305445334578;0.0670199300258723;0.0648860293579976;0.0197527876599219;0.0192692132559194;0.0867727176857941;0.084155242613917;NA;NA;NA;NA;NA;NA;-0.00521263132510786;0.00238763872666871;0.00261747507187708;NA;ALL;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
A;CTScanUS;02/09/2020;H18;H1;4;Forager;0.139784519306246;0.00429617459510266;0.0296665727226318;0.148028944994737;0.183139934842698;0.0450777793317912;0.193106724326528;0.549993925793207;0.254156478373188;0.00781131280478539;0.0539398188440834;0.269146508811435;0.332985377208615;0.081960503957893;0.351107012769328;NA;NA;0.0145064155555649;0.0151588908394901;0.0733157762568916;0.0747131687378454;0.0224379000416491;0.0226398792901422;0.0957536762985407;0.0973530480279875;NA;NA;NA;NA;NA;NA;NA;-0.000652475283925169;-0.00159937172944687;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H18;H1;5;Forager;0.126262154101303;0.00312044702122625;0.0311259564537007;0.152606844270007;0.180359558395177;0.0465509024275957;0.199157746697603;0.54002586266901;0.233807605949219;0.0057783288485552;0.0576378995995943;0.282591732765848;0.333983186478834;0.0862012463579498;0.368792979123797;0.0624988513415876;0.0637620364087709;0.0155860891315883;0.0155398673221124;0.0765479070142347;0.0760589372557724;0.0232530526314662;0.0232978497961295;0.0998009596457009;0.0993567870519019;NA;NA;NA;NA;NA;NA;-0.00126318506718335;0.0000462218094758795;0.000444172593799058;NA;ALL;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
A;CTScanUS;02/09/2020;H18;H1;6;Forager;0.124458036937194;0.00302861702125713;0.0286337656292463;0.143591900699031;0.180608612338931;0.0445788367531285;0.18817073745216;0.524899769378788;0.237108195121686;0.00576989588858357;0.0545509205750537;0.273560609235874;0.344082095049649;0.0849282841291528;0.358488893365027;0.0661664580106829;0.0582912623739089;0.0141041594659652;0.0145174188880975;0.0732213075789344;0.0703705931200966;0.0222992315072315;0.022279605245897;0.095520539086166;0.0926501983659936;NA;NA;NA;NA;NA;NA;0.00787519563677396;-0.000413259422132339;0.00287034072017237;NA;NA;NA;NA;NA;ALL;NA;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H18;H1;7;Forager;0.121783815105386;0.00329688717592689;0.0320291876899709;0.15650986600182;0.175605854373187;0.0491730010047908;0.20568286700661;0.538398611351081;0.226196376695282;0.00612350609087483;0.0594897293839512;0.290695151700089;0.326163275073303;0.0913319610565003;0.382027112756589;0.0605595281446543;0.0612239704089145;0.0162701302994038;0.0157590573905671;0.0787240627939702;0.0777858032078494;0.0246570124196722;0.0245159885851186;0.103381075213642;0.102301791792968;NA;NA;NA;NA;NA;NA;-0.000664442264260247;0.00051107290883667;0.0010792834206743;NA;ALL;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
A;CTScanUS;02/09/2020;H18;H1;8;Forager;0.123576428202901;0.00429874001549717;0.029290192316522;0.147919017073247;0.183955711110216;0.046220794747568;0.194139811820814;0.53526088346595;0.230871397518743;0.00803111183403079;0.0547213391101187;0.276349387079125;0.343674863589986;0.0863519008679965;0.362701287947122;NA;NA;0.0143074465613743;0.0149827457551477;0.0742181674401923;0.0737005330370889;0.0228927376477084;0.0233280570998596;0.0971109050879007;0.0970285901369485;NA;NA;NA;NA;NA;NA;NA;-0.000675299193773422;0.0000823149509522197;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H18;H1;9;Forager;0.141632509826846;0.0026707345406044;0.0201041157141691;0.131172766051712;0.151846898069859;0.0405153215782181;0.17168808762993;0.487942345781408;0.290264845942056;0.00547346333781994;0.0412018261747168;0.268828412179818;0.311198442567402;0.0830330097981871;0.351861421978006;0.0682990654477584;0.0733301202073619;0.0099897692107043;0.0101143465034648;0.0679767790842763;0.0631959869674357;0.0210401074957359;0.0194752140824822;0.0890168865800121;0.082671201049918;NA;NA;NA;NA;NA;NA;-0.00503105475960346;-0.000124577292760527;0.00634568553009418;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H18;H1;10;Forager;0.141267889855961;0.00350351572700181;0.0298286403596128;0.149984887733382;0.179504524717832;0.0473951339756287;0.197380021709011;0.551484592369419;0.2561592686552;0.006352880525545;0.0540878943352812;0.271965690082077;0.325493272525715;0.0859409938761814;0.357906683958259;0.0705002598099863;0.0707397690859195;0.0141274063591428;0.0157009173986511;0.0740607638643747;0.0759241238690078;0.0239729314197283;0.0234222025559004;0.098033695284103;0.0993463264249081;NA;NA;NA;NA;NA;NA;-0.000239509275933206;-0.00157351103950832;-0.00131263114080513;NA;NA;NA;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H7;H6;12;Forager;0.156350171761027;0.00365900337169427;0.0224110196995181;0.131830021154113;0.153619255638662;0.0376860726243886;0.169516093778502;0.505555544249404;0.309264082927148;0.0072375892487279;0.0443294905069068;0.260762685037587;0.303862270696171;0.0745438815834586;0.335306566621046;NA;NA;0.0113268434463155;0.0110841762532025;0.0674508738785434;0.0643791472755701;0.0193269460377954;0.0183591265865932;0.0867778199163388;0.0827382738621633;NA;NA;NA;NA;NA;NA;NA;0.000242667193113019;0.00403954605417547;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
